year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month,LPCD,rainfall_z,soil_moisture_z,groundwater_z,LPCD_z,WSI_entropy,WSI_entropy_0_100,WSI_equal,WSI_equal_0_100,entropy_weight_LPCD_s,entropy_weight_rainfall_s,entropy_weight_soil_s,entropy_weight_groundwater_s
2020,8,Arunachal Pradesh,2645.431908,24.48304344,3.8595,1548607.5,6480922372,139.4999997,0.12277853,0.955700521,-0.690021887,0.760441841,0.822112199,84.98742202,0.654754866,66.63646347,0.626729372,0.112425164,0.138900277,0.121945187
2020,9,Arunachal Pradesh,2541.171832,24.8511378,3.663,1545486,6259218300,135,0.081827468,1.009187434,-0.723597758,-1.315024691,0.195811053,14.80168254,0.406241899,35.00936918,0.626729372,0.112425164,0.138900277,0.121945187
2020,10,Arunachal Pradesh,3423.775226,22.85422915,3.4665,1542364.5,6454795448,139.5000003,0.428494647,0.719021406,-0.757173629,0.760442149,0.821341218,84.90102287,0.649822648,66.00876295,0.626729372,0.112425164,0.138900277,0.121945187
2020,11,Arunachal Pradesh,1631.333283,20.34830309,3.27,1539243,6233934150,135,-0.275537081,0.354891272,-0.7907495,-1.315024691,0.227422824,18.34422034,0.468108751,42.88287685,0.626729372,0.112425164,0.138900277,0.121945187
2020,12,Arunachal Pradesh,760.0716811,17.48783374,4.13125,1536121.5,6428668462,139.4999997,-0.617749454,-0.060756699,-0.64358808,0.76044184,0.873416255,90.73675379,0.756340196,79.56475789,0.626729372,0.112425164,0.138900277,0.121945187
2021,1,Arunachal Pradesh,959.1080104,16.46145423,4.9925,1533000,6415605000,139.5,-0.539572366,-0.209897456,-0.49642666,0.760441995,0.872098757,90.58910981,0.752129256,79.02885109,0.626729372,0.112425164,0.138900277,0.121945187
2021,3,Arunachal Pradesh,2634.697507,17.27264314,4.450357143,1535500,6426067500,139.5,0.118562293,-0.092025532,-0.589062379,0.760441995,0.850791676,88.20135557,0.705854451,73.13967099,0.626729372,0.112425164,0.138900277,0.121945187
2021,4,Arunachal Pradesh,3817.727811,19.29216655,4.179285714,1536750,6223837500,135,0.583230548,0.201426593,-0.635380238,-1.315024691,0.202397005,15.53972988,0.411156054,35.63477087,0.626729372,0.112425164,0.138900277,0.121945187
2021,5,Arunachal Pradesh,6493.959383,20.86104226,3.908214286,1538000,6436530000,139.5,1.634395381,0.429396177,-0.681698097,0.760441995,0.791619585,81.57030122,0.580414322,57.17548671,0.626729372,0.112425164,0.138900277,0.121945187
2021,7,Arunachal Pradesh,7602.68495,22.42105517,3.366071429,1540500,6446992500,139.5,2.069878371,0.656077928,-0.774333816,0.760441995,0.773854998,79.57953256,0.543374602,52.46161306,0.626729372,0.112425164,0.138900277,0.121945187
2021,9,Arunachal Pradesh,3967.204554,21.0964383,3.521666667,1543000,6249150000,135,0.641941721,0.463601013,-0.747747324,-1.315024691,0.195450278,14.76125266,0.398537144,34.02882063,0.626729372,0.112425164,0.138900277,0.121945187
2021,10,Arunachal Pradesh,2232.267104,19.36857486,3.948333333,1544250,6462686250,139.5,-0.039503508,0.212529302,-0.674842973,0.760441995,0.848561686,87.95145423,0.704357677,72.94918343,0.626729372,0.112425164,0.138900277,0.121945187
2021,11,Arunachal Pradesh,353.5649965,17.15482629,4.375,1545500,6259275000,135,-0.777416329,-0.109145217,-0.601938622,-1.315024691,0.252003765,21.09885607,0.517723363,49.19709871,0.626729372,0.112425164,0.138900277,0.121945187
2021,12,Arunachal Pradesh,426.6796167,14.94107773,5.00375,1546750,6473148750,139.5,-0.748698516,-0.430819735,-0.494504378,0.760441995,0.884894416,92.02304108,0.777834073,82.30018409,0.626729372,0.112425164,0.138900277,0.121945187
2022,1,Arunachal Pradesh,1174.367862,16.07215671,5.6325,1548000,6478380000,139.5,-0.455023036,-0.26646535,-0.387070134,0.760441995,0.868720892,90.21057315,0.74434288,78.03791513,0.626729372,0.112425164,0.138900277,0.121945187
2022,3,Arunachal Pradesh,1863.115304,17.22842633,5.73,1550333.333,6488145000,139.5,-0.184498206,-0.098450572,-0.37041035,0.760441995,0.855200866,88.69546659,0.716440356,74.48689002,0.626729372,0.112425164,0.138900277,0.121945187
2022,5,Arunachal Pradesh,7771.012912,22.70997394,4.553,1552666.667,6497910000,139.5,2.135993888,0.698060025,-0.571523838,0.760441995,0.766013872,78.70082552,0.527261035,50.41091412,0.626729372,0.112425164,0.138900277,0.121945187
2022,7,Arunachal Pradesh,7314.423815,21.82837879,3.376,1555000,6507675000,139.5,1.956655744,0.569957539,-0.772637325,0.760441995,0.77978196,80.24373096,0.555486542,54.00304359,0.626729372,0.112425164,0.138900277,0.121945187
2022,8,Arunachal Pradesh,6890.584015,22.42744489,2.7875,1556166.667,6512557500,139.5,1.790180803,0.657006404,-0.873194069,0.760441995,0.784544923,80.77748712,0.566767944,55.43877534,0.626729372,0.112425164,0.138900277,0.121945187
