year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month
2023,3,Arunachal Pradesh,2750.1746929866,18.875830151689733,3.968,1564333.3333333333,6546735000.0
2023,4,Arunachal Pradesh,3364.8759920982,20.587858731751737,2.21,1565500.0,6340275000.0
2023,5,Arunachal Pradesh,5057.8178272046,20.957412362057543,2.08,1566666.6666666667,6556500000.0
2023,6,Arunachal Pradesh,8199.8975407485,21.9230151464276,1.89,1567833.3333333333,6349725000.0
2023,7,Arunachal Pradesh,9547.2405748408,22.421089583158967,1.62,1569000.0,6566265000.0
2023,8,Arunachal Pradesh,8450.6983790212,23.072781997836906,2.3280000000000003,1570166.6666666667,6571147500.0
2023,9,Arunachal Pradesh,3109.5848853196,19.9461005909036,1.88,1571333.3333333333,6363900000.0
2023,10,Arunachal Pradesh,2819.4421413547,19.644493041925568,2.06,1572500.0,6580912500.0
2023,11,Arunachal Pradesh,428.7845599062,16.69862669387573,2.49,1573666.6666666667,6373350000.0
2023,12,Arunachal Pradesh,512.3873092875,16.872311705211096,2.74,1574833.3333333333,6590677500.0
2024,1,Arunachal Pradesh,170.654519916,15.53308232061387,2.98,1576000.0,6595560000.0
2024,2,Arunachal Pradesh,855.9511377342,17.157361803172005,3.02,1577166.6666666667,5961690000.0
2024,3,Arunachal Pradesh,1483.095008308,17.49553180200957,1.3833333333333333,1578333.3333333333,6605325000.0
2024,4,Arunachal Pradesh,2311.3373977293,14.857166982237349,-0.2533333333333334,1579500.0,6396975000.0
2024,5,Arunachal Pradesh,3829.1870758988,19.38331690251732,-1.89,1580666.6666666667,6615090000.0
2024,6,Arunachal Pradesh,8936.9620578718,21.838944465368293,-1.8,1581833.3333333333,6406425000.0
2024,7,Arunachal Pradesh,7489.8600545365,22.768945627520296,-1.6,1583000.0,6624855000.0
2024,8,Arunachal Pradesh,9092.6122457423,25.79170837778353,-1.73,1584166.6666666667,6629737500.0
2024,9,Arunachal Pradesh,5537.3785462368,23.54717733388596,-2.11,1585333.3333333333,6420600000.0
2024,10,Arunachal Pradesh,4373.9856596169,26.130013535272727,-2.08,1586500.0,6639502500.0
2024,11,Arunachal Pradesh,375.1431082265,,-2.43,1587666.6666666667,6430050000.0
2024,12,Arunachal Pradesh,284.2867318674,,-2.74,1588833.3333333333,6649267500.0
2025,1,Arunachal Pradesh,1401.3594262477,16.371695196978795,,,
2025,2,Arunachal Pradesh,2154.4890833283,16.237125263336946,,,
2025,3,Arunachal Pradesh,3553.2440405338,18.050391856583595,,,
2025,4,Arunachal Pradesh,5954.5408790824,17.917280723733256,,,
2025,5,Arunachal Pradesh,7553.3075004043,19.154516319082955,,,
2025,6,Arunachal Pradesh,8190.765576574,19.947880786234546,,,
2018,1,Assam,109.270467103,,3.2889473684210526,34586234.0,144743389290.0
2018,2,Assam,134.76924663900002,,3.373157894736842,34625975.916666664,130886188972.0
2018,3,Assam,318.270224396,,3.4573684210526316,34665717.833333336,145076029148.0
2018,4,Assam,1661.970642637,,3.1710058479532166,34705459.75,140557111980.0
2018,5,Assam,2448.956403417,,2.884643274853801,34745201.666666664,145408668975.0
2018,6,Assam,4179.677071216,,2.598280701754386,34784943.583333336,140879021520.0
2018,7,Assam,10545.668105291,28.155348967857144,2.3119181286549706,34824685.5,145741308802.0
2018,8,Assam,14086.566650679,27.2139666852071,2.0255555555555556,34864427.416666664,145907628731.0
2018,9,Assam,11881.306732964,26.831985412711024,2.3605555555555555,34904169.333333336,141361885800.0
2018,10,Assam,6237.676822818,19.84795444047384,2.695555555555555,34943911.25,146240268589.0
2018,11,Assam,1176.247794107,14.801535212964824,3.030555555555555,34983653.166666664,141683795340.0
2018,12,Assam,961.364714508,14.256939152685424,3.199027777777778,35023395.083333336,146572908416.0
2019,1,Assam,121.959484759,13.66179566676442,3.3674999999999997,35063137.0,146739228345.0
2019,2,Assam,1147.174513818,12.694337567099568,3.539027777777777,35108462.166666664,132709986976.0
2019,3,Assam,2328.635691833,14.423811319941349,3.710555555555555,35153787.333333336,147118599990.0
2019,4,Assam,6101.545242986,19.48411785141414,3.673703703703703,35199112.5,142556405640.0
2019,5,Assam,11760.393818083,23.308990545356792,3.636851851851852,35244437.666666664,147497971635.0
